"00011"|"00002"|"000"|"STA"|"Southern Taurids                        "|" annual "|" 1"|"224    "|"49.4   "|"13     "|"0.73   "|"0.18   "|"28     "|"2.07   "|"0.352  "|"       "|"115.4  "|"37.3   "|"5.4    "|"00144"|"00247"|"02"|"2P/Encke                                "|"member of Taurid Complex (247)                                                                                                                        "|"P   "|"1) <A href='http://adsabs.harvard.edu/abs/2002ESASP.500..177P' target=_blank>Porubcan and Kornos, 2002</A>"|"LT"|"SD"
"00012"|"00002"|"001"|"STA"|"Southern Taurids                        "|" annual "|" 1"|"207.6  "|"40.6   "|"10.3   "|"       "|"       "|"27.8   "|"       "|"0.340  "|"0.820  "|"117.9  "|"27.6   "|"6.0    "|"00036"|"00247"|"02"|"                                        "|"member of Taurid Complex (247)                                                                                                                        "|"P   "|"2) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>"|"LT"|"SD"
"00013"|"00002"|"002"|"STA"|"Southern Taurids                        "|"2002/06 "|" 1"|"196.5  "|"31.0   "|"8.0    "|"0.82   "|"0.29   "|"27.92  "|"1.67   "|"0.31   "|"0.8144 "|"122.5  "|"16.0   "|"3.0    "|"02684"|"00247"|"02"|"2P/Encke                                "|"member of Taurid Complex (247)                                                                                                                        "|"R   "|"3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"|"LT"|"SD" 
"00014"|"00002"|"003"|"STA"|"Southern Taurids                        "|"2007/08 "|" 1"|"219.7  "|"50.1   "|"13.4   "|"0.73   "|"0.16   "|"27.2   "|"       "|"       "|"       "|"       "|"       "|"       "|"00707"|"00247"|"02"|"2P/Encke                                "|"member of Taurid Complex (247)                                                                                                                        "|"T   "|"4) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A>"|"LT"|"SD"
"00015"|"00002"|"004"|"STA"|"Southern Taurids                        "|"2002/08 "|" 1"|"196    "|"30.9   "|"8.1    "|"0.817  "|"0.291  "|"28.2   "|"1.72   "|"0.3084 "|"0.820  "|"122.26 "|"16.0   "|"5.3    "|"02497"|"00247"|"02"|"2P/Encke                                "|"member of Taurid Complex (247)                                                                                                                        "|"R   "|"5) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"|"LT"|"SD"
"00016"|"00002"|"005"|"STA"|"Southern Taurids                        "|" annual "|" 1"|"216.0  "|"47.9   "|"12.8   "|"0.99   "|"0.26   "|"26.6   "|"1.95   "|"0.353  "|"0.798  "|"116.6  "|"34.4   "|"5.3    "|"00916"|"00247"|"02"|"2P/Encke                                "|"member of Taurid Complex (247)                                                                                                                        "|"T   "|"6) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>"|"LT"|"SD"
"00017"|"00002"|"006"|"STA"|"Southern Taurids                        "|" annual "|"-2"|"211.3  "|"42.8   "|"10.6   "|"       "|"       "|"27.0   "|"1.85   "|"0.368  "|"0.807  "|"114.8  "|"31.3   "|"5.4    "|"05946"|"    2"|"00"|"                                        "|"                                                                                                                                                      "|"C   "|"7) Jenniskens et al., 2018 sub. to PSS"|"LT"|"SD"
"00018"|"00003"|"000"|"SIA"|"Southern iota Aquariids                 "|" annual "|" 0"|"131.7  "|"334.7  "|"-14.2  "|"1.07   "|"0.18   "|"33.8   "|"2.364  "|"0.208  "|"       "|"131.8  "|"311.7  "|"6.9    "|"     "|"00298"|"03"|"                                        "|"Member of 298/IAQ Complex                                                                                                                             "|"    "|"1) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"|"LT"|"SD"
"00019"|"00003"|"001"|"SIA"|"Southern iota Aquariids                 "|" annual "|" 0"|"131.7  "|"339.0  "|"-15.6  "|"       "|"       "|"34.8   "|"2.676  "|"0.190  "|"       "|"137.5  "|"306.9  "|"8.6    "|"     "|"00298"|"03"|"                                        "|"Member of 298/IAQ Complex                                                                                                                             "|"P   "|"2) Dutch Meteor Society 2001"|"LT"|"SD"
"00020"|"00003"|"002"|"SIA"|"Southern iota Aquariids                 "|"2002/06 "|" 0"|"129.5  "|"332.9  "|"-14.7  "|"0.36   "|"-0.14  "|"30.5   "|"1.546  "|"0.218  "|"0.8587 "|"134.3  "|"309.1  "|"5.3    "|"00353"|"00298"|"03"|"                                        "|"Member of 298/IAQ Complex. Removed from the List of Established Showers (2015) Jenniskens et al. Trans. IAU, vol 10, issue T28 pp 120-123             "|"R   "|"3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"|"LT"|"SD"
